,PROPNUM,API,WELL,D_DATE,OIL (BBL),GAS (MCF),WATER (BBL),CASING_PRESS (PSI),TUBING_PRESS (PSI),CHOKE (/64THS INCH)
0,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/11/2013,0.0,0.0,0.0,0.0,0.0,0.0
1,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/12/2013,0.0,0.0,0.0,0.0,0.0,0.0
2,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/13/2013,0.0,0.0,0.0,0.0,0.0,0.0
3,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/14/2013,0.0,0.0,0.0,0.0,0.0,0.0
4,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/15/2013,0.0,0.0,0.0,0.0,0.0,0.0
5,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/16/2013,0.0,0.0,0.0,0.0,0.0,10.0
6,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/17/2013,0.0,0.0,0.0,515.0,0.0,11.0
7,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/18/2013,288.25,9.63,180.0,515.0,0.0,11.0
8,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/19/2013,257.02,25.09,152.0,380.0,0.0,12.0
9,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/20/2013,257.75,25.62,174.0,350.0,0.0,12.0
10,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/21/2013,217.48,26.23,179.0,300.0,0.0,12.0
11,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/22/2013,147.11,24.18,178.0,300.0,0.0,13.0
12,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/23/2013,187.27,12.56,190.0,300.0,0.0,13.0
13,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/24/2013,119.01,8.81,166.0,260.0,0.0,13.0
14,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/25/2013,133.65,18.04,141.0,250.0,0.0,14.0
15,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/26/2013,192.7,21.03,149.0,250.0,0.0,14.0
16,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/27/2013,68.68,13.2,208.0,200.0,0.0,14.0
17,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/28/2013,216.81,16.63,197.0,190.0,0.0,14.0
18,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/29/2013,157.32,15.31,184.0,160.0,0.0,14.0
19,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,11/30/2013,116.96,10.13,193.0,150.0,0.0,14.0
20,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/1/2013,13.04,13.35,189.0,140.0,0.0,16.0
21,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/2/2013,63.32,14.86,177.0,120.0,0.0,18.0
22,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/3/2013,47.58,12.27,85.0,120.0,0.0,18.0
23,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/4/2013,6.8,10.75,25.0,0.0,0.0,0.0
24,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/5/2013,117.44,11.15,275.0,230.0,300.0,8.0
25,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/6/2013,191.05,31.65,281.0,400.0,300.0,11.0
26,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/7/2013,187.61,40.23,265.0,390.0,290.0,8.0
27,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/8/2013,182.42,35.92,263.0,110.0,300.0,8.0
28,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/9/2013,219.4,32.44,281.0,400.0,300.0,0.0
29,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/10/2013,249.82,38.36,274.0,100.0,300.0,0.0
30,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/11/2013,256.32,58.81,271.0,100.0,260.0,0.0
31,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/12/2013,199.01,50.1,213.0,70.0,280.0,0.0
32,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/13/2013,272.76,60.66,275.0,70.0,220.0,0.0
33,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/14/2013,269.67,60.44,231.0,70.0,280.0,0.0
34,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/15/2013,281.64,65.04,257.0,70.0,240.0,0.0
35,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/16/2013,229.54,50.53,240.0,50.0,400.0,0.0
36,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/17/2013,231.84,54.24,273.0,50.0,300.0,0.0
37,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/18/2013,219.11,130.85,217.0,40.0,300.0,0.0
38,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/19/2013,212.25,42.71,216.0,40.0,300.0,0.0
39,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/20/2013,145.48,24.33,102.0,50.0,300.0,0.0
40,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/21/2013,193.43,66.2,101.0,40.0,300.0,0.0
41,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/22/2013,187.85,60.44,113.0,50.0,360.0,0.0
42,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/23/2013,173.7,71.91,111.0,50.0,350.0,0.0
43,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/24/2013,126.77,39.31,87.0,50.0,365.0,0.0
44,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/25/2013,217.23,50.6,121.0,80.0,250.0,0.0
45,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/26/2013,83.14,54.11,95.0,100.0,350.0,0.0
46,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/27/2013,73.36,34.21,106.0,100.0,350.0,0.0
47,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/28/2013,225.66,64.94,114.0,100.0,320.0,0.0
48,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/29/2013,231.76,74.49,92.0,100.0,320.0,0.0
49,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/30/2013,218.49,75.53,127.0,10.0,200.0,0.0
50,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,12/31/2013,197.77,107.36,104.0,100.0,460.0,0.0
51,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/1/2014,207.61,79.0,131.0,90.0,420.0,0.0
52,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/2/2014,238.92,59.98,103.0,100.0,420.0,0.0
53,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/3/2014,234.66,57.61,116.0,100.0,370.0,0.0
54,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/4/2014,241.19,57.87,100.0,90.0,270.0,0.0
55,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/5/2014,242.58,58.43,119.0,100.0,340.0,0.0
56,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/6/2014,228.01,52.84,84.0,100.0,340.0,0.0
57,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/7/2014,238.58,53.39,107.0,100.0,330.0,0.0
58,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/8/2014,116.1,65.22,108.0,100.0,340.0,0.0
59,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/9/2014,147.28,75.28,104.0,100.0,120.0,0.0
60,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/10/2014,0.0,0.0,0.0,90.0,100.0,0.0
61,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/11/2014,0.0,0.0,0.0,90.0,100.0,0.0
62,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/12/2014,0.0,0.0,0.0,50.0,100.0,0.0
63,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/13/2014,0.0,0.0,0.0,0.0,0.0,0.0
64,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/14/2014,20.06,5.69,3.0,0.0,360.0,0.0
65,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/15/2014,89.94,25.31,65.0,0.0,360.0,0.0
66,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/16/2014,68.38,33.01,71.0,0.0,310.0,0.0
67,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/17/2014,175.65,34.7,81.0,30.0,280.0,0.0
68,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/18/2014,178.02,66.08,79.0,100.0,340.0,0.0
69,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/19/2014,201.0,73.08,81.0,100.0,220.0,0.0
70,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/20/2014,200.91,68.85,110.0,100.0,240.0,0.0
71,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/21/2014,215.06,58.91,110.0,100.0,240.0,0.0
72,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/22/2014,212.1,42.56,100.0,100.0,240.0,0.0
73,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/23/2014,224.61,46.48,134.0,100.0,240.0,0.0
74,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/24/2014,228.82,56.27,111.0,100.0,300.0,0.0
75,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/25/2014,231.62,52.93,108.0,100.0,200.0,0.0
76,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/26/2014,219.56,68.11,98.0,100.0,260.0,0.0
77,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/27/2014,182.96,41.39,83.0,100.0,300.0,0.0
78,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/28/2014,219.48,31.84,90.0,100.0,40.0,0.0
79,1PDPOIL012,42493327380000,AMBROSE URBANCZYK 1H,1/29/2014,137.55,38.31,146.0,100.0,260.0,0.0
